13.904		160609	53314.6		151189	55404.3
13.905		160615	53317.3		151199	55406.4
13.906		160621	53319.9		151210	55408.5
13.907		160628	53322.6		151221	55410.5
13.908		160634	53325.2		151231	55412.6
13.909		160641	53327.9		151242	55414.7
13.91		160647	53330.5		151253	55416.7
13.911		160654	53333.2		151263	55418.8
13.912		160660	53335.8		151274	55420.9
13.913		160667	53338.4		151284	55422.9
13.914		160673	53341.1		151295	55425
13.915		160680	53343.7		151306	55427.1
13.916		160686	53346.4		151316	55429.1
13.917		160693	53349		151327	55431.2
13.918		160699	53351.7		151338	55433.3
13.919		160706	53354.3		151348	55435.3
13.92		160712	53356.9		151359	55437.4
13.921		160719	53359.6		151370	55439.5
13.922		160725	53362.2		151380	55441.5
13.923		160732	53364.9		151391	55443.6
13.924		160738	53367.5		151401	55445.7
13.925		160745	53370.2		151412	55447.7
13.926		160751	53372.8		151423	55449.8
13.927		160757	53375.4		151433	55451.8
13.928		160764	53378.1		151444	55453.9
13.929		160770	53380.7		151455	55456
13.93		160777	53383.4		151465	55458
13.931		160783	53386		151476	55460.1
13.932		160790	53388.6		151487	55462.1
13.933		160796	53391.3		151497	55464.2
13.934		160803	53393.9		151508	55466.2
13.935		160809	53396.6		151518	55468.3
13.936		160816	53399.2		151529	55470.4
13.937		160822	53401.8		151540	55472.4
13.938		160829	53404.5		151550	55474.5
13.939		160835	53407.1		151561	55476.5
13.94		160842	53409.8		151572	55478.6
13.941		160848	53412.4		151582	55480.6
13.942		160855	53415		151593	55482.7
13.943		160861	53417.7		151604	55484.7
13.944		160868	53420.3		151614	55486.8
13.945		160874	53422.9		151625	55488.9
13.946		160881	53425.6		151635	55490.9
13.947		160887	53428.2		151646	55493
13.948		160893	53430.9		151657	55495
13.949		160900	53433.5		151667	55497.1
13.95		160906	53436.1		151678	55499.1
13.951		160913	53438.8		151689	55501.2
13.952		160919	53441.4		151699	55503.2
13.953		160926	53444		151710	55505.3
13.954		160932	53446.7		151720	55507.3
13.955		160939	53449.3		151731	55509.4
13.956		160945	53451.9		151742	55511.4
13.957		160952	53454.6		151752	55513.5
13.958		160958	53457.2		151763	55515.5
13.959		160965	53459.8		151774	55517.6
13.96		160971	53462.5		151784	55519.6
13.961		160978	53465.1		151795	55521.7
13.962		160984	53467.8		151806	55523.7
13.963		160991	53470.4		151816	55525.7
13.964		160997	53473		151827	55527.8
13.965		161004	53475.7		151837	55529.8
13.966		161010	53478.3		151848	55531.9
13.967		161017	53480.9		151859	55533.9
13.968		161023	53483.6		151869	55536
13.969		161030	53486.2		151880	55538
13.97		161036	53488.8		151891	55540.1
13.971		161042	53491.5		151901	55542.1
13.972		161049	53494.1		151912	55544.1
13.973		161055	53496.7		151922	55546.2
13.974		161062	53499.4		151933	55548.2
13.975		161068	53502		151944	55550.3
13.976		161075	53504.6		151954	55552.3
13.977		161081	53507.2		151965	55554.3
13.978		161088	53509.9		151976	55556.4
13.979		161094	53512.5		151986	55558.4
13.98		161101	53515.1		151997	55560.5
13.981		161107	53517.8		152007	55562.5
13.982		161114	53520.4		152018	55564.5
13.983		161120	53523		152029	55566.6
13.984		161127	53525.7		152039	55568.6
13.985		161133	53528.3		152050	55570.7
13.986		161140	53530.9		152061	55572.7
13.987		161146	53533.6		152071	55574.7
13.988		161153	53536.2		152082	55576.8
13.989		161159	53538.8		152093	55578.8
13.99		161166	53541.4		152103	55580.8
13.991		161172	53544.1		152114	55582.9
13.992		161179	53546.7		152124	55584.9
13.993		161185	53549.3		152135	55586.9
13.994		161192	53552		152146	55589
13.995		161198	53554.6		152156	55591
13.996		161204	53557.2		152167	55593
13.997		161211	53559.8		152178	55595.1
13.998		161217	53562.5		152188	55597.1
13.999		161224	53565.1		152199	55599.1
14		161230	53567.7		152209	55601.2
14.001		161237	53570.4		152220	55603.2
14.002		161243	53573		152231	55605.2
14.003		161250	53575.6		152241	55607.2
14.004		161256	53578.2		152252	55609.3
14.005		161263	53580.9		152263	55611.3
14.006		161269	53583.5		152273	55613.3
14.007		161276	53586.1		152284	55615.4
14.008		161282	53588.7		152294	55617.4
14.009		161289	53591.4		152305	55619.4
14.01		161295	53594		152316	55621.4
14.011		161302	53596.6		152326	55623.5
14.012		161308	53599.2		152337	55625.5
14.013		161315	53601.9		152348	55627.5
14.014		161321	53604.5		152358	55629.5
14.015		161328	53607.1		152369	55631.6
14.016		161334	53609.7		152379	55633.6
14.017		161341	53612.4		152390	55635.6
14.018		161347	53615		152401	55637.6
14.019		161354	53617.6		152411	55639.7
14.02		161360	53620.2		152422	55641.7
14.021		161367	53622.9		152433	55643.7
14.022		161373	53625.5		152443	55645.7
14.023		161379	53628.1		152454	55647.8
14.024		161386	53630.7		152464	55649.8
14.025		161392	53633.4		152475	55651.8
14.026		161399	53636		152486	55653.8
14.027		161405	53638.6		152496	55655.8
14.028		161412	53641.2		152507	55657.9
14.029		161418	53643.8		152518	55659.9
14.03		161425	53646.5		152528	55661.9
14.031		161431	53649.1		152539	55663.9
14.032		161438	53651.7		152549	55665.9
14.033		161444	53654.3		152560	55667.9
14.034		161451	53656.9		152571	55670
14.035		161457	53659.6		152581	55672
14.036		161464	53662.2		152592	55674
14.037		161470	53664.8		152603	55676
14.038		161477	53667.4		152613	55678
14.039		161483	53670.1		152624	55680
14.04		161490	53672.7		152634	55682.1
14.041		161496	53675.3		152645	55684.1
14.042		161503	53677.9		152656	55686.1
14.043		161509	53680.5		152666	55688.1
14.044		161516	53683.1		152677	55690.1
14.045		161522	53685.8		152688	55692.1
14.046		161529	53688.4		152698	55694.1
14.047		161535	53691		152709	55696.1
